suburb,address,sale_price,sale_date,property_type,bedrooms,bathrooms,parking_spaces,land_size_sqm,agent_description_snippet,listing_url
Paddington,"17/24 Gordon Street, Paddington",1480000,31 Aug 2026,Apartment,1,1.0,,78.0,,https://www.realestate.com.au/sold/property-apartment-nsw-paddington-151982280
Paddington,"49 Hopetoun Street, Paddington",3820000,28 Aug 2026,Terrace,4,2.0,,113.8,,https://www.realestate.com.au/sold/property-terrace-nsw-paddington-151928072
Paddington,"54 Stewart Street, Paddington",3965000,27 Aug 2026,House,4,1.0,1.0,,,https://www.realestate.com.au/sold/property-house-nsw-paddington-152022356
Paddington,"4/4 Underwood Street, Paddington",1385000,26 Aug 2026,Apartment,2,1.0,,73.0,,https://www.realestate.com.au/sold/property-apartment-nsw-paddington-152036144
Paddington,"2/54A Hopewell Street, Paddington",380000,24 Aug 2026,Studio,1,,,,,https://www.realestate.com.au/sold/property-studio-nsw-paddington-151792896
Paddington,"28 Napier Street, Paddington",4500000,12 Aug 2026,Terrace,4,2.0,1.0,177.0,,https://www.realestate.com.au/sold/property-terrace-nsw-paddington-151895332
Paddington,"7 Cecil Street, Paddington",2650000,11 Aug 2026,House,4,2.0,,131.0,,https://www.realestate.com.au/sold/property-house-nsw-paddington-151279764
Paddington,"69 Union Street, Paddington",4520000,06 Aug 2026,House,4,3.0,1.0,,,https://www.realestate.com.au/sold/property-house-nsw-paddington-151850332
Paddington,"12 Shadforth Street, Paddington",2750000,05 Aug 2026,House,3,2.0,,,,
Paddington,"15 Napier Street, Paddington",1960000,27 Jul 2026,House,3,1.0,,,,
Paddington,"56 Selwyn Street, Paddington",3450000,24 Jul 2026,House,4,2.0,2.0,203.0,,
Paddington,"75 Elizabeth Street, Paddington",2430000,11 Jul 2026,House,2,1.0,,,,
Paddington,"3/186 Glenmore Road, Paddington",1405000,01 Jul 2026,Apartment,2,1.0,,60.0,,
Paddington,"703/40 Stephen Street, Paddington",951000,23 Jun 2026,Apartment,2,1.0,,53.0,,
Paddington,"55/204-232 Jersey Road, Paddington",1300000,17 Jun 2026,Unit,2,1.0,1.0,,,
Paddington,"3 Brown Street, Paddington",3175000,12 Jun 2026,Terrace,3,2.0,,,,
Paddington,"3 Albert Square, Paddington",2450000,12 Jun 2026,House,2,1.0,,,,
Paddington,"7 / 8 Young Street, Paddington",1400000,12 Jun 2026,Apartment,1,1.0,1.0,,,
Paddington,"5/42 Flinton Street, Paddington",2000000,06 Jun 2026,Apartment,2,2.0,2.0,85.0,,
Paddington,"16/1-3 Brodie Street, Paddington",1215000,27 May 2026,Apartment,1,1.0,1.0,,,
Paddington,"14/27 Sutherland Street, Paddington",530000,27 May 2026,Studio,1,1.0,,,,
Paddington,"114 Sutherland Street, Paddington",2550000,26 May 2026,Terrace,2,1.0,,,,
Paddington,"12 West Street, Paddington",1900000,19 May 2026,House,3,1.0,,,,
Paddington,"21 Stafford Street, Paddington",2495000,09 May 2026,House,2,1.0,,114.0,,
Paddington,"17 Union Street, Paddington",3200000,07 May 2026,House,2,2.0,,140.0,,
Paddington,"35 Iris Street, Paddington",1550000,04 May 2026,House,2,1.0,,,,
Paddington,"12/186 Boundary Street, Paddington",850000,04 May 2026,Apartment,1,1.0,,,,
Paddington,"3 Regent Street, Paddington",4520000,03 May 2026,House,3,3.0,,141.0,,
Paddington,"12/61 Liverpool Street, Paddington",1480000,01 May 2026,Apartment,2,1.0,,,,
Paddington,"7 / 13-21 Macdonald Street, Paddington",2430000,29 Apr 2026,Unit,2,2.0,1.0,,,
Paddington,"3 Victoria Place, Paddington",2800000,25 Apr 2026,House,3,2.0,,,,
Paddington,"27 Albion Avenue, Paddington",2250000,23 Apr 2026,Terrace,4,2.0,,,,
Paddington,"133 Sutherland Street, Paddington",2360000,18 Apr 2026,House,2,1.0,126.0,,,
Paddington,"47 Selwyn Street, Paddington",2420000,17 Apr 2026,Terrace,2,1.0,,,,
Paddington,"4/54a Hopewell Street, Paddington",425000,15 Apr 2026,Studio,1,,,,,
Paddington,"177 Glenmore Road, Paddington",4250000,08 Apr 2026,House,4,2.0,,,,
Paddington,"403/40 Stephen Street, Paddington",1050000,01 Apr 2026,Apartment,2,1.0,1.0,,,
Paddington,"11/56 Hopewell Street, Paddington",546000,01 Apr 2026,Studio,1,1.0,,,,
Paddington,"60 Ormond Street, Paddington",4300000,30 Mar 2026,House,4,2.0,,,,
Paddington,"53 Oatley Road, Paddington",1890000,26 Mar 2026,House,2,1.0,,,,
Paddington,"55 Sutherland Street, Paddington",4300000,25 Mar 2026,Terrace,2,2.0,1.0,,,
Paddington,"78 Underwood Street, Paddington",2480000,21 Mar 2026,House,2,1.0,,,,
Paddington,"18 Campbell Avenue, Paddington",3625000,20 Mar 2026,House,4,2.0,,134.0,,
Paddington,"23/8 Bennetts Grove Avenue, Paddington",1400000,19 Mar 2026,Apartment,2,1.0,1.0,,,
Paddington,"23 McGarvie Street, Paddington",2100000,14 Mar 2026,House,2,1.0,,,,
Paddington,"84 William Street, Paddington",3550000,11 Mar 2026,House,3,2.0,,121.0,,
Paddington,"2D/6-8 Hampden Street, Paddington",1502000,11 Mar 2026,Apartment,2,1.0,1.0,110.0,,
Paddington,"137 Paddington Street, Paddington",5500000,02 Mar 2026,House,3,2.0,1.0,226.0,,
Paddington,"5/61 Hargrave Street, Paddington",1830000,28 Feb 2026,Apartment,2,1.0,1.0,,,
Paddington,"5/168 Hargrave Street, Paddington",1310000,28 Feb 2026,Apartment,2,1.0,1.0,56.0,,
Marrickville,"705/178 Livingstone Road, Marrickville",912500,14 Sep 2026,Unit,1,1.0,1.0,75.0,,https://www.realestate.com.au/sold/property-unit-nsw-marrickville-152027516
Marrickville,"11 Albermarle Street, Marrickville",3170000,12 Sep 2026,House,3,1.0,1.0,518.5,,https://www.realestate.com.au/sold/property-house-nsw-marrickville-152070136
Marrickville,"22 Fletcher Street, Marrickville",2185000,12 Sep 2026,House,4,2.0,1.0,,,https://www.realestate.com.au/sold/property-house-nsw-marrickville-152060540
Marrickville,"228/11-23 Gordon Street, Marrickville",1475000,12 Sep 2026,Apartment,2,2.0,1.0,,,https://www.realestate.com.au/sold/property-apartment-nsw-marrickville-152073356
Marrickville,"16/44-50 Ewart Street, Marrickville",810000,09 Sep 2026,Apartment,2,1.0,,75.0,,https://www.realestate.com.au/sold/property-apartment-nsw-marrickville-151460716
Marrickville,"124 Warren Road, Marrickville",3500000,08 Sep 2026,House,5,3.0,3.0,385.7,,https://www.realestate.com.au/sold/property-house-nsw-marrickville-152019512
Marrickville,"53 Silver Street, Marrickville",1655000,04 Sep 2026,House,2,1.0,,,,https://www.realestate.com.au/sold/property-house-nsw-marrickville-151158920
Marrickville,"6 Park Road, Marrickville",1575500,04 Sep 2026,House,2,1.0,,215.0,,
Marrickville,"13/2-6 Schwebel Street, Marrickville",1202000,03 Sep 2026,Apartment,2,1.0,1.0,,,
Marrickville,"225/11-23 Gordon Street, Marrickville",850000,03 Sep 2026,Apartment,1,1.0,1.0,65.0,,
Marrickville,"8/261-263 Wardell Road, Marrickville",690000,02 Sep 2026,Apartment,1,1.0,1.0,,,
Marrickville,"27/254-258 Wardell Road, Marrickville",1350000,28 Aug 2026,Apartment,2,1.0,1.0,116.0,,
Marrickville,"26/342A Marrickville Road, Marrickville",1170000,28 Aug 2026,Apartment,2,2.0,1.0,,,
